Tanggal,Username,Tweet,Lokasi,Followers
2023-05-07 09:42:29+00:00,enryusan,"RT @Adinda_AZahran1: Anies Presiden 2024 

Yang setuju RTL kuy https://t.co/EIjFdZ5XOv","Jakarta Utara, DKI Jakarta",247
2023-05-07 09:42:17+00:00,Bims_D_Boy,"RT @Adinda_AZahran1: Anies Presiden 2024 

Yang setuju RTL kuy https://t.co/EIjFdZ5XOv",,76
2023-05-07 09:42:04+00:00,sontarsono,"RT @Mdy_Asmara1701: Gue Ikhlas Beliau jadi Presiden 2024 

Korupsi Adalah Penghambat Peningkatan Kesejahteraan ~ @aniesbaswedan https://t.c…",brebes,65
2023-05-07 09:41:41+00:00,OjolNyambi,"RT @Mdy_Asmara1701: Barakallah FII Umrik Pak @aniesbaswedan Semoga Menjadi Presiden RI 2024🙏🏻

#MiladAnies https://t.co/BJ9bxl0UtS",bandung,392
2023-05-07 09:41:34+00:00,MasRahmad121,"RT @Mdy_Asmara1701: Mantap!  

Komunitas Manusia Merdeka memutuskan mendukung Anies Baswedan menjadi Presiden 2024

Semua Akan Anies pada w…",,439
2023-05-07 09:41:20+00:00,BRidwan908,"RT @siregar_elang: Ayo rakyat seluruh indonesia dari sabang sampai merauke..

Bersama @PKSejahtera mari kita dukung @aniesbaswedan sbg capr…",Tual,570
2023-05-07 09:40:59+00:00,Acil11147618,"RT @CutSarina5: Yaumil Milad Pak Anies Baswedan ke 53,ya Allah karuniakan umur yang panjang dan berkah jadikanlah pak Anies Presiden RI di…",,1354
2023-05-07 09:40:58+00:00,Dody03180922,"RT @tifsembiring: He3x... Pak JK kalau ngomong, suka bener...😊
Tapi, saya setuju. Alangkah eloknya, jika Presiden netral dan tidak berpihak…",,517
2023-05-07 09:40:40+00:00,Khaibar92110952,"RT @Mdy_Asmara1701: Mantap!  

Komunitas Manusia Merdeka memutuskan mendukung Anies Baswedan menjadi Presiden 2024

Semua Akan Anies pada w…",,528
2023-05-07 09:40:08+00:00,hersuss_sibejoo,"RT @MissKoral: Millesa.... Millenial Sobat Anies
Siap bergerak... 
2024 Presiden.... Anies Baswedan
@sobatanies_dpn
@RikeSants
@kba_news
#S…",,184
2023-05-07 09:40:06+00:00,TarlanUjang,"RT @Malika6027: BALI SIAP MENANGKAN ANIES !!
Dukungan di sampaikan oleh tokoh puri bangli (tokoh bangsawan) bangli yaitu gde putra winatasi…",,7
2023-05-07 09:40:02+00:00,susidiansafitri,"RT @Mdy_Asmara1701: Mantap!  

Komunitas Manusia Merdeka memutuskan mendukung Anies Baswedan menjadi Presiden 2024

Semua Akan Anies pada w…",,2056
2023-05-07 09:39:35+00:00,ali_rochmadi,"RT @aniesmania: Gus Wafi Putra Mbah Moen nilai Anies Baswedan pemimpin paling tepat untuk jadi Presiden RI 2024 ❤️🇮🇩

Aamiin 🤲🤲🤲

#Anies #A…",,89
2023-05-07 09:39:29+00:00,MasRahmad121,"RT @LANGKAHANIES: Alhamdulillah mas @aniesbaswedan sampai juga ditanah cikal bakal kami di kabupaten Jember
Insyaallah Rakyat Jember 💯 2024…",,439
2023-05-07 09:39:19+00:00,lufiaq_,"RT @NasDem: Selamat Ulang Tahun Calon Presiden 2024 Bapak @aniesbaswedan

Semoga diberikan keberkahan, kesehatan selalu, panjang umur, dan…",,359
2023-05-07 09:38:46+00:00,kacangkulit2507,"@simpatisanPKS @ainunnajib Dinasehatin, malah dipertegas soal polarisasi.. 
Udah bener 2024 biar akagami aja yg jadi presiden..",,10
2023-05-07 09:38:39+00:00,dherrayy,RT @IMCMushroom: Ayo Buruh dan Ojol! Kita Tagih Janji Pak Anies Baswedan yg konon katanya akan Perjuangkan Nasib Buruh &amp; Ojol. Kita lihat a…,,189
2023-05-07 09:38:38+00:00,Yudiant37272319,"RT @Adinda_AZahran1: Anies Presiden 2024 

Yang setuju RTL kuy https://t.co/EIjFdZ5XOv",,284
2023-05-07 09:38:22+00:00,benky_aja,RT @Johan64048206: @ch_chotimah2 Siapa Presiden Pilihan Anda Tahun 2024,rscm,1743
2023-05-07 09:38:20+00:00,RusdiridwanS,"RT @Mdy_Asmara1701: Mantap!  

Komunitas Manusia Merdeka memutuskan mendukung Anies Baswedan menjadi Presiden 2024

Semua Akan Anies pada w…",Jakarta Capital Region,72
2023-05-07 09:38:10+00:00,EBRoestono,"RT @Mdy_Asmara1701: Mantap!  

Komunitas Manusia Merdeka memutuskan mendukung Anies Baswedan menjadi Presiden 2024

Semua Akan Anies pada w…",Indonesia,875
2023-05-07 09:37:54+00:00,GagakNewww,"RT @eddy_widodo_165: JEMBER PETJAAAAAAAHH. ‼️
Ribuan Warga Sambut Ganjar di CFD Jember, Yel-yel Presiden Menggema
Mereka berlarian menghamp…",Cipayung Jaktim,686
2023-05-07 09:37:44+00:00,AuliaHikmatull4,"RT @NasDem: Selamat Ulang Tahun Calon Presiden 2024 Bapak @aniesbaswedan

Semoga diberikan keberkahan, kesehatan selalu, panjang umur, dan…","Bekasi, Jawa Barat",3
2023-05-07 09:37:30+00:00,daniharis,"RT @NasDem: Selamat Ulang Tahun Calon Presiden 2024 Bapak @aniesbaswedan

Semoga diberikan keberkahan, kesehatan selalu, panjang umur, dan…",cirebon Jungjang Arjawinangun,117
2023-05-07 09:37:11+00:00,AslanPutra9,"RT @dennyindrayana: https://t.co/80i7Aq8IZ7

𝙈𝙚𝙣𝙜𝙜𝙪𝙜𝙖𝙩 𝙀𝙩𝙞𝙠𝙖 𝙋𝙤𝙡𝙞𝙩𝙞𝙠 𝙙𝙖𝙣 𝙉𝙚𝙩𝙧𝙖𝙡𝙞𝙩𝙖𝙨 𝙋𝙧𝙚𝙨𝙞𝙙𝙚𝙣 𝙅𝙤𝙠𝙤𝙬𝙞

Menjawab gugatan atas cawe-cawenya dal…",,41
2023-05-07 09:36:26+00:00,rizkysa23,"Pak Anies Baswedan terus mendapatkan banyak dukungan dari mantan presiden dan wakil presiden RI yaitu Pak Jusuf Kalla dan Pak SBY agar lancar jadi presiden di 2024 #ItsTimeRestorasiIndonesia
#NasdemNo5
#AniesPresidenku https://t.co/Nd5oVC0LPm","East Borneo, Indonesia",16
2023-05-07 09:36:22+00:00,Nailazaara__,RT @Mira_SasMiita: Sikap profesional Pak @erickthohir dalam menanggapi pertanyaan para Wartawan yg menanyakan sikapnya terkait munculnya na…,,6294
2023-05-07 09:36:19+00:00,Mulyawans07gma2,"RT @Mdy_Asmara1701: Mantap!  

Komunitas Manusia Merdeka memutuskan mendukung Anies Baswedan menjadi Presiden 2024

Semua Akan Anies pada w…",,1158
2023-05-07 09:35:49+00:00,adi_adi22260051,"RT @NasDem: Selamat Ulang Tahun Calon Presiden 2024 Bapak @aniesbaswedan

Semoga diberikan keberkahan, kesehatan selalu, panjang umur, dan…",,25
2023-05-07 09:35:36+00:00,OjolNyambi,RT @Iwansetiawan512: Selamat Ulang Tahun ( Happy Birth Day )🌹🌹 Teruntuk  Bapak  DR H Anies Rasyid  Baswedan @aniesbaswedan  7 Mei 1969 - 7…,bandung,392
2023-05-07 09:35:32+00:00,maselonk,"RT @Adinda_AZahran1: Anies Presiden 2024 

Yang setuju RTL kuy https://t.co/EIjFdZ5XOv",,68
2023-05-07 09:35:20+00:00,abahnanisa,"RT @Lisaamartatara6: Udah lihat Pidato Presiden kita di @Metro_TV ?...

Keren kannnn...

Insya Alloh 2024 Gw akan berjuang keras... https:/…",bumi nya Allah Swt,3721
2023-05-07 09:34:57+00:00,Johan64048206,@ch_chotimah2 Siapa Presiden Pilihan Anda Tahun 2024,,76
2023-05-07 09:34:55+00:00,fapank,"RT @CutSarina5: Yaumil Milad Pak Anies Baswedan ke 53,ya Allah karuniakan umur yang panjang dan berkah jadikanlah pak Anies Presiden RI di…","Jawa Barat, Indonesia",666
2023-05-07 09:34:26+00:00,Lisaamartatara6,"Udah lihat Pidato Presiden kita di @Metro_TV ?...

Keren kannnn...

Insya Alloh 2024 Gw akan berjuang keras... https://t.co/CXbSOSKcz8",,3012
2023-05-07 09:33:49+00:00,BungaLiar15,"RT @NasDem: Selamat Ulang Tahun Calon Presiden 2024 Bapak @aniesbaswedan

Semoga diberikan keberkahan, kesehatan selalu, panjang umur, dan…",Indonesia 🇮🇩,134
2023-05-07 09:33:32+00:00,BM7NOGO,"Jalan keluar satu2nya.. sdh saatnya Indonesia memilih Calon pendamping Presiden 2024 Sosok org yg jujur, berintegritas, memahami birokrasi memiliki pengalaman tinggi di dalam mengelola Negara, tdk pebisnis dn memiliki jam terbang tinggi sesuai amanah Presiden ( Hanya Prof. Mahfud",Anak Medan.. North Sumatera,4497
2023-05-07 09:33:31+00:00,coachedan,RT @IMCMushroom: Ayo Buruh dan Ojol! Kita Tagih Janji Pak Anies Baswedan yg konon katanya akan Perjuangkan Nasib Buruh &amp; Ojol. Kita lihat a…,Indonesia,1870
2023-05-07 09:33:25+00:00,BoXvegeance,"RT @aniesmania: Gus Wafi Putra Mbah Moen nilai Anies Baswedan pemimpin paling tepat untuk jadi Presiden RI 2024 ❤️🇮🇩

Aamiin 🤲🤲🤲

#Anies #A…","Papua, Indonesia",2
2023-05-07 09:33:18+00:00,Riezall82373843,"RT @Mdy_Asmara1701: Mantap!  

Komunitas Manusia Merdeka memutuskan mendukung Anies Baswedan menjadi Presiden 2024

Semua Akan Anies pada w…",,135
2023-05-07 09:33:01+00:00,KartikoVianto,"RT @Pemuja_Cinta01: Nah....dari gaya bicaranya menurut anda siapa yang pantas menjadi presiden RI 2024...
@aniesbaswedan 🔄 retweet
@ganjarp…","DKI Jakarta, Indonesia",332
2023-05-07 09:32:35+00:00,PuppyMpop,RT @FarrahSama: @PuppyMpop @diyamed2 Kawal terus sampe titik perubahan nyata ... Selamat berbahagia tuk relawan relawan Anies Baswedan for…,,1273
